number,title
106,Shikpɔŋ Lɛ Fitemɔ Kɛ Ŋwei Toigbalamɔ Baa
107,Ani Otsɔse Ohenilee Lɛ? Ani Oonã He Sɛɛ?
108,"Kaashe Gbeyei, Nibii Baahi Wɔsɛɛ!"
109,Nyɔŋmɔ Maŋtsɛyeli Lɛ Ebɛŋkɛ
110,Nyɔŋmɔ Baa Klɛŋklɛŋ Yɛ Weku Shihilɛ Ni Yeɔ Omanye Mli
111,Mɛɛ Gbɛ Nɔ Abaatsɔ Atsa Adesai Kwraa?
112,Te Obaafee Tɛŋŋ Ojie Suɔmɔ Kpo Yɛ Jeŋ Ni Asusuu Mɔ He Lɛ Mli?
113,Mɛni Oblahii Kɛ Oblayei Baanyɛ Afee Koni Amɛye Omanye Ni Amɛná Miishɛɛ?
114,Hiɛsɔɔ Ni Aaaná Aha Nyɔŋmɔ Adebɔɔ Nibii Ni Yɔɔ Naakpɛɛ Lɛ
115,Kaahã Satan Ŋaatsɔi Lɛ Eko Kwraa Du Bo
116,Okɛ Nilee Ahala Onanemɛi!
117,Bɔ Ni Ooofee Ni Okɛ Ekpakpafeemɔ Aye Efɔŋ Nɔ Kunim
118,Oblahii Kɛ Oblayei Bibii Ni Aaakwɛ Amɛ Yɛ Bɔ Ni Yehowa Kwɛɔ Amɛ Ehaa Lɛ Naa
119,Je Lɛ Ni Kristofoi Tsiɔ Amɛhe Kɛjeɔ He—Nɔ Hewɔ Ni Ehe Yɔɔ Sɛɛnamɔ
120,Nɔ Hewɔ Ni Esa Akɛ Aba He Shi Aha Nyɔŋmɔ Nɔyeli Bianɛ
121,Namɛi Abaahere Amɛyiwala Be Ni Akpãtãa Jeŋ Fɔŋ Nɛɛ Hiɛ Lɛ?
122,Jeŋ Muu Fɛɛ Toinjɔlɛ—Kɛjɛ Nɛgbɛ?
123,Nɔ Hewɔ Ni Esa Akɛ Kristofoi Afee Srɔto
124,Nɔ Ni Abaadamɔ Nɔ Aná Hekɛnɔfɔɔ Akɛ Ŋwei Aje Aŋma Biblia Lɛ
125,Nɔ Hewɔ Ní Kpɔmɔnɔ He Hiaa Adesai
126,Namɔ Abaanyɛ Ahere Eyiwala?
127,Mɛni Baa Wɔnɔ Kɛ́ Wɔgboi?
128,Ani Hɛl Ji He Ko Ni Akɛ La Piŋɔ Mɔ Yɛ Lɛɛlɛŋ?
129,Ani Triniti Tsɔɔmɔ Lɛ Yɛ Biblia Lɛ Mli?
130,Shikpɔŋ Lɛ Baahi Shi Kɛya Naanɔ
131,Tsĩi Abonsam Gbɛ!
132,Gbohiiashitee Lɛ—Eji Gbele Nɔ Kunimyeli!
133,Adesai Ashishijee Lɛ—Ani Nɔ Ni Oheɔ Oyeɔ Lɛ Kɔɔ He Eko?
134,Ani Esa Akɛ Kristofoi Aye Hejɔɔmɔ Gbi Lɛ?
135,Krɔŋkrɔŋ Ní Wala Kɛ Lá Ji
136,Ani Nyɔŋmɔ Kpɛlɛɔ Amagai Ni Akɛtsuɔ Nii Yɛ Jamɔ Mli Lɛ Nɔ?
137,Ani Biblia Lɛ Mli Naakpɛɛ Nii Lɛ Ba Mli Lɛɛlɛŋ?
138,Okɛ Jwɛŋmɔ Kpakpa Ahi Shi Yɛ Jeŋ Ni Efite Mli
139,Nyɔŋmɔ He Nilee Ni Yɔɔ Jeŋ Nilee Jeŋ Ko Mli
140,Namɔ Tuuntu Ji Yesu Kristo?
141,Ŋtsɔi Ni Adesai Dɔmɔɔ—Mɛɛ Be Ebaaba Naagbee?
142,Nɔ Hewɔ Ni Esa Akɛ Oyaba Yehowa Abo
143,Okɛ Ohiɛ Afɔ̃ Miishɛjemɔ Fɛɛ Nyɔŋmɔ Lɛ Nɔ
144,Asafo Ní Yeɔ Anɔkwa Yɛ Kristo Hiɛnyiɛmɔ Shishi
